Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
60,81=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of salford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3988/university-of-salford"">University of Salford</a>",89.6%,82.8%,7.8%,118,67.9%,86.2
61=,40,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of reading', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3983/university-of-reading"">University of Reading</a>",80.7%,69.8%,36.3%,132,63.3%,86.1
61=,48=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : keele university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3939/keele-university"">Keele University</a>",79.5%,75.3%,29.8%,129,66.8%,86.1
63,29,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of essex', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3925/university-of-essex"">University of Essex</a>",75.3%,73.7%,37.7%,116,72.1%,86
64,100,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of greenwich', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3931/university-of-greenwich"">University of Greenwich</a>",92.5%,87.1%,14.4%,115,57.6%,85.9
65,51=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of portsmouth', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3980/university-of-portsmouth"">University of Portsmouth</a>",81.8%,79.1%,17.1%,105,75.6%,85.7
66,93,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sunderland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4000/university-of-sunderland"">University of Sunderland</a>",83.6%,80.5%,15.3%,98,75.6%,85.6
67=,76,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : brunel university london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3903/brunel-university-london"">Brunel University London</a>",81.6%,76.5%,30.9%,123,61.1%,85.3
67=,128,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : birkbeck, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3952/birkbeck-university-of-london"">Birkbeck, University of London</a>",87.6%,79.6%,36.7%,85,60.6%,85.3
67=,90,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of hertfordshire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3935/university-of-hertfordshire"">University of Hertfordshire</a>",83.2%,79.8%,7.8%,120,72.6%,85.3
70,85=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : solent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3994/solent-university"">Solent University</a>",92.3%,84.4%,n/a,107,67.5%,85.2
71,127,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of wolverhampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4013/university-of-wolverhampton"">University of Wolverhampton</a>",87.7%,83.8%,7.6%,107,67.9%,85
72,87=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : leeds trinity university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3946/leeds-trinity-university"">Leeds Trinity University</a>",91.3%,90.1%,6.2%,95,64.0%,84.8
