Subject rank,Overall rank,Institution,Teaching quality,Student experience,Research quality,Entry standards,Graduate prospects,Overall rating
65,102,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : york st john university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4017/york-st-john-university"">York St John University</a>",80.2%,80.0%,1.9%,132,84.1%,83.1
66,63=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bangor university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3890/bangor-university"">Bangor University</a>",78.3%,77.8%,34.7%,133,64.6%,82.7
67,129,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : wrexham glyndŵr university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4015/wrexham-glyndr-university"">Wrexham Glyndŵr University</a>",80.8%,75.7%,3.6%,129*,83.8%,82.6
68,77,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : st mary's university, twickenham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3987/st-marys-university-twickenham"">St Mary's University, Twickenham</a>",72.8%,75.3%,4.8%,138,86.0%,82.3
69,118,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : canterbury christ church university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3907/canterbury-christ-church-university"">Canterbury Christ Church University</a>",72.9%,66.4%,2.2%,121,90.4%,80.4
70,124,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : leeds beckett university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3945/leeds-beckett-university"">Leeds Beckett University</a>",82.7%,83.1%,3.5%,107,76.7%,80.3
71,109,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : plymouth marjon university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3979/plymouth-marjon-university"">Plymouth Marjon University</a>",85.1%,75.2%,n/a,129,69.2%,79.9
72,57,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : staffordshire university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3996/staffordshire-university"">Staffordshire University</a>",85.3%,86.5%,n/a,100,75.0%,79.8
73,29,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of essex', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3925/university-of-essex"">University of Essex</a>",84.4%,85.1%,n/a,103,73.6%,79.4
74,125,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of cumbria', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3915/university-of-cumbria"">University of Cumbria</a>",59.7%,61.0%,0.7%,132,94.0%,78.6
75,110=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : middlesex university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3967/middlesex-university"">Middlesex University</a>",67.3%,67.6%,10.0%,119,79.7%,77.9
76,73,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of chester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3911/university-of-chester"">University of Chester</a>",76.1%,73.8%,12.0%,108,70.7%,77.8
77,115=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of east london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3921/university-of-east-london"">University of East London</a>",81.2%,81.8%,7.6%,110,62.3%,77.5
78,114,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of westminster', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4011/university-of-westminster"">University of Westminster</a>",74.0%,70.5%,21.2%,116,57.1%,76.1
79=,89,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of wales trinity st david', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4006/university-of-wales-trinity-st-david"">University of Wales Trinity St David</a>",81.1%,75.3%,n/a,117*,57.6%,75.5
79=,119,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : newman university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3969/newman-university"">Newman University</a>",77.6%,77.3%,n/a,120,58.9%,75.5
