Subject rank,Overall rank,University,Student experience,Ofsted rating,Research quality,Entry points,Graduate prospects,Total score
55,96=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of hertfordshire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2894/university-of-hertfordshire"">University of Hertfordshire</a>",75,3.0,6.7,314,82.4,71.5
56,106=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bishop grosseteste university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2854/bishop-grosseteste-university"">Bishop Grosseteste University</a>",81,3.5,3.3,253,69.6,71.1
57,114,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : southampton solent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2950/southampton-solent-university"">Southampton Solent University</a>",82.1,n/a,n/a,289,63.2,70.2
58,61,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : nottingham trent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2931/nottingham-trent-university"">Nottingham Trent University</a>",84.2,3.0,n/a,294,63.1,69.9
59,95,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of cumbria', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2874/university-of-cumbria"">University of Cumbria</a>",78.8,3.0,1.7,272,78.8,69.7
60,73=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of ulster', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2960/university-of-ulster"">University of Ulster</a>",82.4,n/a,15,270,44.7,69.1
61,55,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of portsmouth', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2937/university-of-portsmouth"">University of Portsmouth</a>",79.2,3.5,n/a,305,51.7,69
62,87,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2867/cardiff-metropolitan-university"">Cardiff Metropolitan University</a>",83.2,n/a,n/a,305,51.6,68.7
63,101,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of greenwich', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2891/university-of-greenwich"">University of Greenwich</a>",72.9,3.3,6.7,283,67.9,68.6
64=,88,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of central lancashire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2868/university-of-central-lancashire"">University of Central Lancashire</a>",82.4,n/a,1.7,274,57.5,68.4
64=,82,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aberystwyth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2844/aberystwyth-university"">Aberystwyth University</a>",78.7,n/a,n/a,278,65.8,68.4
66,121,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : london metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2919/london-metropolitan-university"">London Metropolitan University</a>",73.3,3.0,23.3,219,51.6,65.5
67,110,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : anglia ruskin university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2845/anglia-ruskin-university"">Anglia Ruskin University</a>",83.4,2.0,n/a,250,75.2,64.9
68,120,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of east london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2880/university-of-east-london"">University of East London</a>",76.8,3.0,11.7,229,42.5,63.5
69,115,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bedfordshire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2851/university-of-bedfordshire"">University of Bedfordshire</a>",72.4,2.7,n/a,253,71.1,63.3
70,93,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of teesside', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2959/university-of-teesside"">University of Teesside</a>",80.7,n/a,n/a,298,28,62.6
71,86,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : de montfort university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/2875/de-montfort-university"">De Montfort University</a>",62.4,n/a,n/a,301,48.1,57.2
