aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Dokuz Eylül University,,Turkey,0,Dokuz Eylül University,624921,601+,6260,master_account,25.3,667,43.4,339,18.5,676,13.9–22.7,6260,10.0,619,14.4,584,47 : 53,"63,639",2%,19.2,"Other Health,Medicine & Dentistry",/world-university-rankings/dokuz-eylul-university
Ehime University,,Japan,0,Ehime University,131814,601+,6270,master_account,30.1,610,45.9,224,18.9,667,13.9–22.7,6270,12.7,493,14.3,594,37 : 63,"9,419",3%,12.8,"Medicine & Dentistry,Other Health",/world-university-rankings/ehime-university
Erciyes University,,Turkey,0,Erciyes University,131784,601+,6280,master_account,27.3,641,50.2,139,21.4,626,13.9–22.7,6280,10.0,620,14.5,576,47 : 53,"38,308",3%,26.7,"Medicine & Dentistry,Other Health",/world-university-rankings/erciyes-university
Federal University of Bahia,,Brazil,0,Federal University of Bahia,131825,601+,6290,master_account,29.4,615,41.6,584,23.6,584,13.9–22.7,6290,11.4,546,14.1,606,52 : 48,"32,614",1%,12.7,"Medicine & Dentistry,Other Health",/world-university-rankings/federal-university-bahia
Federal University of Ceará (UFC),,Brazil,0,Federal University of Ceará (UFC),131288,601+,6300,master_account,33.4,567,41.5,634,23.0,596,13.9–22.7,6300,11.3,552,14.8,559,47 : 53,"31,719",1%,14.6,"Medicine & Dentistry,Other Health",/world-university-rankings/federal-university-ceara-ufc
Federal University of Goiás,,Brazil,0,Federal University of Goiás,131286,601+,6310,master_account,25.6,662,42.0,509,18.4,678,13.9–22.7,6310,9.1,654,13.3,650,44 : 56,"29,558",0%,13.3,"Medicine & Dentistry,Other Health",/world-university-rankings/federal-university-goias
Federal University of Pará,,Brazil,0,Federal University of Pará,649211,601+,6320,master_account,19.5,701,41.6,585,20.1,642,13.9–22.7,6320,8.2,690,13.4,640,56 : 44,"49,435",0%,20.7,"Medicine & Dentistry,Other Health",/world-university-rankings/federal-university-para
Federal University of Paraná (UFPR),,Brazil,0,Federal University of Paraná (UFPR),131706,601+,6330,master_account,25.6,663,41.5,635,24.4,574,13.9–22.7,6330,10.9,571,13.6,627,51 : 49,"32,952",0%,12.8,"Medicine & Dentistry,Other Health",/world-university-rankings/federal-university-parana-ufpr
Federal University of Pernambuco,,Brazil,0,Federal University of Pernambuco,131505,601+,6340,master_account,22.2,688,42.1,491,17.6,692,13.9–22.7,6340,9.8,631,15.3,543,50 : 50,"38,264",1%,14.7,"Medicine & Dentistry,Other Health",/world-university-rankings/federal-university-pernambuco
Federal University of Rio Grande do Norte (UFRN),,Brazil,0,Federal University of Rio Grande do Norte (UFRN),584736,601+,6350,master_account,25.7,659,41.5,637,20.2,641,13.9–22.7,6350,8.9,663,12.4,689,56 : 44,"39,365",0%,16.3,"Medicine & Dentistry,Other Health",/world-university-rankings/federal-university-rio-grande-do-norte-ufrn
Federal University of Santa Maria,,Brazil,0,Federal University of Santa Maria,131632,601+,6360,master_account,26.1,653,42.1,492,17.5,694,13.9–22.7,6360,8.8,667,14.0,610,56 : 44,"26,334",0%,13.8,"Other Health,Medicine & Dentistry",/world-university-rankings/federal-university-santa-maria
Federal University of São Carlos,,Brazil,0,Federal University of São Carlos,131663,601+,6370,master_account,27.2,642,41.5,639,26.1,558,13.9–22.7,6370,12.2,513,20.1,385,49 : 51,"18,258",2%,14.6,"Other Health,Medicine & Dentistry",/world-university-rankings/federal-university-sao-carlos
Federal University of Uberlândia,,Brazil,0,Federal University of Uberlândia,623493,601+,6380,master_account,21.8,689,41.6,586,19.5,651,13.9–22.7,6380,8.0,696,14.6,568,,"20,461",%,11.5,,/world-university-rankings/federal-university-uberlandia
Federal University of Viçosa,,Brazil,0,Federal University of Viçosa,131785,601+,6390,master_account,21.3,693,43.9,308,19.2,659,13.9–22.7,6390,15.4,402,12.2,695,51 : 49,"17,340",2%,14.6,"Other Health,Medicine & Dentistry",/world-university-rankings/federal-university-vicosa
Fluminense Federal University,,Brazil,0,Fluminense Federal University,131557,601+,6400,master_account,21.2,694,41.6,587,19.4,654,13.9–22.7,6400,10.1,614,14.3,596,49 : 51,"68,410",0%,19.0,"Medicine & Dentistry,Other Health",/world-university-rankings/fluminense-federal-university
University of Fukui,,Japan,0,University of Fukui,609312,601+,6410,master_account,21.5,692,44.0,301,17.7,691,13.9–22.7,6410,10.4,598,15.1,551,29 : 71,"4,999",4%,9.2,"Medicine & Dentistry,Other Health",/world-university-rankings/university-fukui
Universitas Gadjah Mada,,Indonesia,6,Universitas Gadjah Mada,623652,601+,6420,master_account,20.6,695,44.3,288,48.3,304,13.9–22.7,6420,7.5,709,16.1,513,54 : 46,"41,201",1%,10.5,"Other Health,Medicine & Dentistry",/world-university-rankings/universitas-gadjah-mada
Gazi University,,Turkey,0,Gazi University,131307,601+,6430,master_account,18.2,713,46.0,218,18.9,668,13.9–22.7,6430,9.7,635,15.3,544,49 : 51,"79,733",3%,31.5,"Medicine & Dentistry,Other Health",/world-university-rankings/gazi-university
University of Ghana,,Ghana,0,University of Ghana,131352,601+,6440,master_account,30.2,609,42.4,446,49.8,288,13.9–22.7,6440,9.6,637,12.2,696,44 : 56,"37,010",2%,24.6,"Other Health,Medicine & Dentistry",/world-university-rankings/university-ghana
Gifu University,,Japan,0,Gifu University,131324,601+,6450,master_account,29.3,617,41.9,525,19.3,656,13.9–22.7,6450,9.6,638,18.4,438,35 : 65,"7,161",4%,7.9,"Other Health,Medicine & Dentistry",/world-university-rankings/gifu-university
Grigore T. Popa University of Medicine and Pharmacy,,Romania,0,Grigore T. Popa University of Medicine and Pharmacy,624561,601+,6460,master_account,20.6,696,41.5,643,54.2,245,13.9–22.7,6460,7.8,700,12.4,690,66 : 34,"9,602",29%,11.4,"Medicine & Dentistry,Other Health",/world-university-rankings/grigore-t-popa-university-medicine-and-pharmacy
University of Guadalajara Universidad de Guadalajara UdeG UDG,,Mexico,6,University of Guadalajara,131406,601+,6470,master_account,28.7,628,41.4,713,25.5,560,13.9–22.7,6470,8.6,680,14.6,569,52 : 48,"120,298",0%,52.4,"Medicine & Dentistry,Other Health",/world-university-rankings/university-guadalajara
Gunma University,,Japan,0,Gunma University,589373,601+,6480,master_account,24.8,670,41.7,564,19.7,648,13.9–22.7,6480,13.1,480,16.3,507,37 : 63,"6,362",3%,7.3,"Medicine & Dentistry,Other Health",/world-university-rankings/gunma-university
Hallym University,,South Korea,0,Hallym University,589301,601+,6490,master_account,26.3,650,41.7,565,19.6,649,13.9–22.7,6490,11.6,538,19.4,411,,"8,372",4%,9.8,"Other Health,Medicine & Dentistry",/world-university-rankings/hallym-university
Hamamatsu University School of Medicine,,Japan,0,Hamamatsu University School of Medicine,609237,601+,6500,master_account,30.5,604,45.6,232,18.2,679,13.9–22.7,6500,11.3,553,17.1,482,49 : 51,"1,205",1%,3.8,"Other Health,Medicine & Dentistry",/world-university-rankings/hamamatsu-university-school-medicine
Imam Abdulrahman Bin Faisal University,,Saudi Arabia,0,Imam Abdulrahman Bin Faisal University,131766,601+,6510,master_account,18.2,714,41.6,589,67.1,160,13.9–22.7,6510,8.8,668,14.5,578,78 : 22,"28,627",3%,10.6,"Other Health,Medicine & Dentistry",/world-university-rankings/imam-abdulrahman-bin-faisal-university
Inha University,,South Korea,0,Inha University,949,601+,6520,master_account,28.2,633,47.7,180,19.3,657,13.9–22.7,6520,15.2,410,20.1,386,39 : 61,"19,384",5%,23.7,"Other Health,Medicine & Dentistry",/world-university-rankings/inha-university
I-Shou University,,Taiwan,0,I-Shou University,131739,601+,6530,master_account,28.9,624,41.9,526,34.6,474,13.9–22.7,6530,12.7,494,11.2,719,47 : 53,"16,425",9%,31.1,"Medicine & Dentistry,Other Health",/world-university-rankings/i-shou-university
