aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Pennsylvania,,United States,0,University of Pennsylvania,480,11,110,private,57.4,32,50.3,20,29.0,82,74.8,110,88.5,8,89.6,9,50 : 50,"20,361",20%,6.5,Law,/world-university-rankings/university-pennsylvania
New York University,,United States,0,New York University,508,12,120,private,60.6,20,44.1,34,29.3,81,74.5,120,86.7,10,88.5,11,56 : 44,"43,860",26%,9.6,Law,/world-university-rankings/new-york-university
McGill University,,Canada,0,McGill University,492,13,130,master_account,57.3,33,39.3,87,58.7,39,73.8,130,79.6,24,87.8,13,57 : 43,"30,940",26%,13.3,Law,/world-university-rankings/mcgill-university
University of Edinburgh,,United Kingdom,0,University of Edinburgh,500,14,140,master_account,61.6,19,39.3,74,67.4,26,73.6,140,83.2,17,78.0,22,59 : 41,"26,759",40%,12.5,Law,/world-university-rankings/university-edinburgh
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,15,150,public,57.4,31,41.4,44,26.2,87,72.5,150,84.4,15,87.9,12,48 : 52,"41,818",16%,8.6,Law,/world-university-rankings/university-michigan-ann-arbor
University of British Columbia ubc,,Canada,11,University of British Columbia,486,16,160,master_account,69.4,8,39.7,59,74.4,17,72.4,160,67.6,42,81.3,17,54 : 46,"51,889",29%,18.1,Law,/world-university-rankings/university-british-columbia
Columbia University,,United States,0,Columbia University,476,17,170,private,58.2,28,44.4,33,48.8,53,72.3,170,77.2,30,86.9,14,,"26,587",32%,6.1,Law,/world-university-rankings/columbia-university
University of Hong Kong HKU Hong Kong University,,Hong Kong,11,University of Hong Kong,498,18,180,master_account,41.4,81,41.1,47,90.6,4,71.6,180,88.9,7,75.5,27,54 : 46,"18,364",42%,18.0,Law,/world-university-rankings/university-hong-kong
"University of California, Berkeley",,United States,0,"University of California, Berkeley",474,19,190,public,55.0,42,40.9,48,30.6,77,71.3,190,85.1,14,84.3,16,52 : 48,"36,182",17%,13.1,Law,/world-university-rankings/university-california-berkeley
Leiden University,,Netherlands,6,Leiden University,543,20,200,master_account,61.7,18,70.7,6,43.4,57,70.9,200,83.7,16,73.5,32,57 : 43,"24,825",12%,18.2,Law,/world-university-rankings/leiden-university
"University of California, Los Angeles",,United States,0,"University of California, Los Angeles",477,21,210,public,54.8,44,53.2,19,27.2,84,70.7,210,75.5,31,91.8,4,53 : 47,"39,279",17%,9.6,Law,/world-university-rankings/university-california-los-angeles
Cornell University,,United States,0,Cornell University,484,22,220,private,44.2,73,39.3,71,39.6,64,70.2,220,81.9,20,89.8,8,49 : 51,"21,850",24%,9.8,Law,/world-university-rankings/cornell-university
