Metric,Value,Year,Institution,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Research quality (%),8.0,2014,"University of the Arts, London",8.0,70.0,5.0,10007162,"University of the Arts, London",
Research quality (%),4.1,2014,University of Chester,4.1,99.0,2.0,10007848,University of Chester,
Research quality (%),4.1,2014,York St John University,4.1,99.0,3.0,10007713,York St John University,
Research quality (%),6.6,2014,"Queen Margaret University, Edinburgh",6.6,77.0,4.0,10005337,"Queen Margaret University, Edinburgh",
Research quality (%),4.0,2014,Robert Gordon University,4.0,102.0,2.0,10005500,The Robert Gordon University,
Research quality (%),4.9,2014,University of Greenwich,4.9,91.0,3.0,10007146,University of Greenwich,
Research quality (%),4.0,2014,"St Mary's University, Twickenham",4.0,102.0,2.0,10007843,"St Mary's University College, Twickenham",
Research quality (%),9.0,2014,London South Bank University,9.0,62.0,5.0,10004078,London South Bank University,
Research quality (%),3.6,2014,Teesside University,3.6,108.0,2.0,10007161,Teesside University,
Research quality (%),5.6,2014,University of Hertfordshire,5.6,84.0,4.0,10007147,University of Hertfordshire,
Research quality (%),0.5,2014,Solent University,0.5,124.0,1.0,10006022,Southampton Solent University,
Research quality (%),1.1,2014,Royal Agricultural University,1.1,123.0,1.0,10005545,Royal Agricultural College,
Research quality (%),2.5,2014,University of Derby,2.5,115.0,1.0,10007851,University of Derby,
Research quality (%),4.3,2014,University of Worcester,4.3,96.0,3.0,10007139,University of Worcester,
Research quality (%),9.0,2014,Bournemouth University,9.0,62.0,6.0,10000824,Bournemouth University,
Research quality (%),3.8,2014,University of Gloucestershire,3.8,106.0,2.0,10007145,University of Gloucestershire,
Research quality (%),4.3,2014,Birmingham City University,4.3,96.0,3.0,10007140,Birmingham City University,
Research quality (%),7.0,2014,Glasgow Caledonian University,7.0,75.0,4.0,10007762,Glasgow Caledonian University,
Research quality (%),5.1,2014,Abertay University,5.1,89.0,3.0,10007849,University of Abertay Dundee,
Research quality (%),5.8,2014,University of Winchester,5.8,81.0,4.0,10003614,University of Winchester,
Research quality (%),25.4,2014,Brunel University London,25.4,47.0,7.0,10000961,Brunel University,
Research quality (%),4.6,2014,Edinburgh Napier University,4.6,93.0,3.0,10007772,Edinburgh Napier University,
Research quality (%),0.0,2014,Plymouth Marjon University,0.0,125.0,1.0,10037449,University of St Mark & St John,
Research quality (%),2.6,2014,University of Wales Trinity St David,2.6,114.0,1.0,10007858,University of Wales: Trinity Saint David,
Research quality (%),2.1,2014,Bishop Grosseteste University,2.1,118.0,1.0,10007811,Bishop Grosseteste University College Lincoln,
Research quality (%),9.2,2014,University of Bradford,9.2,60.0,6.0,10007785,University of Bradford,
Research quality (%),5.1,2014,Kingston University,5.1,89.0,3.0,10003678,Kingston University,
Research quality (%),9.7,2014,Middlesex University,9.7,58.0,6.0,10004351,Middlesex University,
Research quality (%),4.3,2014,University of the West of Scotland,4.3,96.0,3.0,10007800,University of the West of Scotland,
Research quality (%),5.8,2014,University of Sunderland,5.8,81.0,4.0,10007159,University of Sunderland,
Research quality (%),7.9,2014,Bath Spa University,7.9,71.0,5.0,10000571,Bath Spa University,
Research quality (%),8.3,2014,University of Salford,8.3,69.0,5.0,10007156,University of Salford,
Research quality (%),3.9,2014,Cardiff Metropolitan University,3.9,105.0,2.0,10007854,Cardiff Metropolitan University,
Research quality (%),1.5,2014,Bucks New University,1.5,121.0,1.0,10000975,Buckinghamshire New University,
Research quality (%),4.0,2014,University of South Wales,4.0,102.0,2.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Research quality (%),2.8,2014,Newman University,2.8,113.0,1.0,10007832,Newman University College,
Research quality (%),3.2,2014,University of Northampton,3.2,111.0,2.0,10007138,The University of Northampton,
Research quality (%),2.0,2014,Leeds Trinity University,2.0,119.0,1.0,10003863,Leeds Trinity University College,
Research quality (%),4.5,2014,Canterbury Christ Church University,4.5,95.0,3.0,10001143,Canterbury Christ Church University,
Research quality (%),9.8,2014,University of Westminster,9.8,57.0,6.0,10007165,The University of Westminster,
Research quality (%),5.4,2014,Anglia Ruskin University,5.4,87.0,4.0,10000291,Anglia Ruskin University,
Research quality (%),1.2,2014,University of Cumbria,1.2,122.0,1.0,10007842,The University of Cumbria,
Research quality (%),7.9,2014,University of Brighton,7.9,71.0,5.0,10000886,University of Brighton,
Research quality (%),4.1,2014,Leeds Beckett University,4.1,99.0,3.0,10003861,Leeds Metropolitan University,
Research quality (%),5.9,2014,University of Wolverhampton,5.9,80.0,4.0,10007166,University of Wolverhampton,
Research quality (%),2.9,2014,University of Bolton,2.9,112.0,2.0,10006841,The University of Bolton,
Research quality (%),3.5,2014,London Metropolitan University,3.5,109.0,2.0,10004048,London Metropolitan University,
Research quality (%),7.2,2014,University of East London,7.2,74.0,5.0,10007144,University of East London,
Research quality (%),7.0,2014,University of Bedfordshire,7.0,75.0,5.0,10007152,University of Bedfordshire,
Research quality (%),2.3,2014,Wrexham Glyndwr University,2.3,117.0,1.0,10007833,Glyndwr University,
Entry standards (Ucas pts),208,2014,University of St Andrews,208.0,1.0,10.0,10007803,University of St Andrews,
Entry standards (Ucas pts),206,2014,Imperial College London,206.0,2.0,10.0,10003270,"Imperial College of Science, Technology and Medicine",1.0
Entry standards (Ucas pts),162,2014,Loughborough University,162.0,22.0,9.0,10004113,Loughborough University,
Entry standards (Ucas pts),189,2014,London School of Economics and Political Science,189.0,7.0,10.0,10004063,London School of Economics & Political Science,5.0
Entry standards (Ucas pts),195,2014,Durham University,195.0,5.0,10.0,10007143,University of Durham,3.0
Entry standards (Ucas pts),157,2014,Lancaster University,157.0,29.0,8.0,10007768,University of Lancaster,
Entry standards (Ucas pts),187,2014,University College London,187.0,8.0,10.0,10007784,University College London,6.0
Entry standards (Ucas pts),180,2014,University of Warwick,180.0,11.0,10.0,10007163,University of Warwick,7.0
Entry standards (Ucas pts),182,2014,University of Bath,182.0,10.0,10.0,10007850,University of Bath (The),
Entry standards (Ucas pts),172,2014,University of Exeter,172.0,13.0,9.0,10007792,University of Exeter,9.0
Entry standards (Ucas pts),166,2014,University of Leeds,166.0,18.0,9.0,10007795,University of Leeds,12.0
Entry standards (Ucas pts),165,2014,University of Birmingham,165.0,19.0,9.0,10006840,University of Birmingham,13.0
Entry standards (Ucas pts),177,2014,University of Bristol,177.0,12.0,10.0,10007786,University of Bristol,8.0
Entry standards (Ucas pts),200,2014,University of Glasgow,200.0,3.0,10.0,10007794,University of Glasgow,2.0
Entry standards (Ucas pts),134,2014,Harper Adams University,134.0,55.0,6.0,10040812,Harper Adams University,
Entry standards (Ucas pts),167,2014,University of Manchester,167.0,16.0,9.0,10007798,The University of Manchester,11.0
Entry standards (Ucas pts),140,2014,"Royal Holloway, University of London",140.0,47.0,7.0,10005553,Royal Holloway College and Bedford New College,
Entry standards (Ucas pts),160,2014,University of Southampton,160.0,24.0,9.0,10007158,University of Southampton,15.0
