Institution,Metric,Value,Year,Numeric Value,Rank,Decile
Leicester,Research Quality,4.97,2009,4.97,37.0,7.0
Loughborough,Research Quality,5.08,2009,5.08,35.0,7.0
Bath,Research Quality,5.67,2009,5.67,14.0,9.0
King's College London,Research Quality,5.45,2009,5.45,21.0,9.0
Nottingham,Research Quality,5.35,2009,5.35,25.0,8.0
Glasgow,Research Quality,5.19,2009,5.19,31.0,8.0
Bristol,Research Quality,5.70,2009,5.7,12.0,10.0
Exeter,Research Quality,5.24,2009,5.24,30.0,8.0
Southampton,Research Quality,5.82,2009,5.82,7.0,10.0
Edinburgh,Research Quality,5.64,2009,5.64,16.0,9.0
"Royal Holloway, University of London",Research Quality,5.67,2009,5.67,14.0,9.0
Aston,Research Quality,4.96,2009,4.96,38.0,7.0
Birmingham,Research Quality,5.31,2009,5.31,27.0,8.0
Essex,Research Quality,5.63,2009,5.63,17.0,9.0
Sheffield,Research Quality,5.49,2009,5.49,19.0,9.0
Newcastle,Research Quality,5.19,2009,5.19,31.0,8.0
Manchester,Research Quality,5.68,2009,5.68,13.0,9.0
Sussex,Research Quality,5.47,2009,5.47,20.0,9.0
Surrey,Research Quality,5.44,2009,5.44,22.0,9.0
Strathclyde,Research Quality,4.66,2009,4.66,47.0,6.0
Leeds,Research Quality,5.32,2009,5.32,26.0,8.0
East Anglia (UEA),Research Quality,5.39,2009,5.39,23.0,8.0
"Queen's, Belfast",Research Quality,4.90,2009,4.9,39.0,7.0
Kent,Research Quality,4.80,2009,4.8,40.0,7.0
Stirling,Research Quality,4.80,2009,4.8,40.0,7.0
Cardiff,Research Quality,5.39,2009,5.39,23.0,9.0
Reading,Research Quality,5.28,2009,5.28,28.0,8.0
Aberdeen,Research Quality,4.74,2009,4.74,42.0,7.0
Keele,Research Quality,4.61,2009,4.61,48.0,6.0
Brunel University London,Research Quality,4.33,2009,4.33,53.0,6.0
Liverpool,Research Quality,5.18,2009,5.18,33.0,8.0
"Queen Mary, University of London",Research Quality,5.04,2009,5.04,36.0,7.0
Goldsmiths College,Research Quality,5.25,2009,5.25,29.0,8.0
Aberystwyth,Research Quality,4.50,2009,4.5,50.0,6.0
"City, University of London",Research Quality,4.44,2009,4.44,51.0,6.0
Swansea,Research Quality,4.61,2009,4.61,48.0,6.0
Hull,Research Quality,4.32,2009,4.32,54.0,6.0
Heriot-Watt,Research Quality,4.69,2009,4.69,45.0,7.0
