aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Aalborg University,,Denmark,6,Aalborg University,766,351-400,351,master_account,39.9,388,43.9,185,65.8,126,-,202,28.5,238,23.8,346,"Geography,Sport Science,Mathematics & Statistics,History, Philosophy & Theology,Electrical & Electronic Engineering,Chemistry,Business & Management,General Engineering,Medicine & Dentistry,Computer Science,Psychology,Other Health,Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Architecture,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Communication & Media Studies,Economics & Econometrics,Sociology,Accounting & Finance,Politics & International Studies (incl Development Studies),Law,Chemical Engineering,Civil Engineering,Education,Mechanical & Aerospace Engineering",/world-university-rankings/aalborg-university
University of Graz,,Austria,0,University of Graz,721,351-400,351,master_account,55.1,308,30.2,357,64.8,129,-,322,17.3,359,23.7,349,"Politics & International Studies (incl Development Studies),Psychology,Physics & Astronomy,Biological Sciences,Languages, Literature & Linguistics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Geography,Economics & Econometrics,Sociology,Archaeology,Business & Management,Education,Law,Chemistry,Sport Science",/world-university-rankings/university-graz
University of Bari Aldo Moro,,Italy,0,University of Bari Aldo Moro,818,351-400,351,master_account,52.0,327,35.2,279,38.1,313,-,301,18.1,350,29.1,278,"Computer Science,Law,Archaeology,Languages, Literature & Linguistics,Medicine & Dentistry,Education,Other Health,Economics & Econometrics,Accounting & Finance,Agriculture & Forestry,Biological Sciences,Veterinary Science,Sport Science,Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Psychology,Communication & Media Studies,History, Philosophy & Theology,Business & Management",/world-university-rankings/university-bari-aldo-moro
University of Minho,,Portugal,0,University of Minho,903,351-400,351,master_account,60.6,265,44.5,180,49.7,241,-,340,16.2,375,20.2,376,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics,Economics & Econometrics,Education,Chemistry,Computer Science,Communication & Media Studies,Accounting & Finance,Geography,Politics & International Studies (incl Development Studies),Physics & Astronomy,Business & Management,Sociology,Mechanical & Aerospace Engineering,General Engineering,Other Health,Law,Medicine & Dentistry,Archaeology,History, Philosophy & Theology,Architecture,Biological Sciences,Electrical & Electronic Engineering,Psychology,Chemical Engineering,Civil Engineering,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/university-minho
National Taiwan University of Science and Technology (Taiwan Tech),,Taiwan,6,National Taiwan University of Science and Technology (Taiwan Tech),793,351-400,351,master_account,30.9,398,82.0,53,26.7,379,-,259,42.6,118,27.7,299,"Languages, Literature & Linguistics,General Engineering,Computer Science,Mechanical & Aerospace Engineering,Civil Engineering,Accounting & Finance,Electrical & Electronic Engineering,Chemical Engineering,Education,Business & Management,Art, Performing Arts & Design,Architecture",/world-university-rankings/national-taiwan-university-science-and-technology-taiwan-tech
Curtin University Curtin,,Australia,6,Curtin University,821,351-400,351,master_account,45.3,369,36.1,269,91.3,11,-,222,17.1,364,20.1,377,"Biological Sciences,Languages, Literature & Linguistics,Chemical Engineering,Computer Science,Agriculture & Forestry,Other Health,Civil Engineering,General Engineering,Business & Management,Electrical & Electronic Engineering,Law,Mechanical & Aerospace Engineering,Accounting & Finance,Mathematics & Statistics,Economics & Econometrics,History, Philosophy & Theology,Chemistry,Sociology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Psychology,Geography,Physics & Astronomy,Sport Science,Art, Performing Arts & Design,Medicine & Dentistry,Architecture,Education,Communication & Media Studies",/world-university-rankings/curtin-university
University of Waikato UoW,,New Zealand,0,University of Waikato,812,351-400,351,master_account,50.0,344,50.0,140,80.3,61,-,381,17.0,367,18.6,388,"Education,Sport Science,Languages, Literature & Linguistics,Biological Sciences,Agriculture & Forestry,Physics & Astronomy,Accounting & Finance,Mathematics & Statistics,Geography,Chemistry,Psychology,Chemical Engineering,Sociology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Communication & Media Studies,Civil Engineering,Electrical & Electronic Engineering,Computer Science,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,General Engineering,Other Health,Law,History, Philosophy & Theology,Art, Performing Arts & Design",/world-university-rankings/university-waikato
University of Missouri-Columbia,,United States,0,University of Missouri-Columbia,706,351-400,351,public,46.6,364,31.2,342,29.6,366,-,341,22.0,318,31.7,238,"Mathematics & Statistics,Chemistry,Biological Sciences,Physics & Astronomy,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Mechanical & Aerospace Engineering,Agriculture & Forestry,Accounting & Finance,Geography,Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology,Sociology,Education,Communication & Media Studies,Electrical & Electronic Engineering,Veterinary Science,Chemical Engineering,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Civil Engineering,Economics & Econometrics",/world-university-rankings/university-missouri-columbia
Hokkaido University,,Japan,0,Hokkaido University,747,351-400,351,master_account,32.2,397,43.4,191,25.2,386,-,232,27.5,255,38.4,154,"History, Philosophy & Theology,Chemical Engineering,Mechanical & Aerospace Engineering,Sociology,Education,Economics & Econometrics,Archaeology,Other Health,Electrical & Electronic Engineering,Civil Engineering,Languages, Literature & Linguistics,Sport Science,Computer Science,Geography,General Engineering,Biological Sciences,Veterinary Science,Architecture,Agriculture & Forestry,Accounting & Finance,Medicine & Dentistry,Law,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Chemistry,Art, Performing Arts & Design,Business & Management,Psychology,Communication & Media Studies",/world-university-rankings/hokkaido-university
National Cheng Kung University (NCKU),,Taiwan,11,National Cheng Kung University (NCKU),885,351-400,351,master_account,28.4,400,100.0,8,26.7,378,-,256,40.1,129,31.8,236,"Languages, Literature & Linguistics,Archaeology,Other Health,General Engineering,Computer Science,Mechanical & Aerospace Engineering,Medicine & Dentistry,Psychology,Civil Engineering,Chemical Engineering,Biological Sciences,Agriculture & Forestry,Sport Science,Mathematics & Statistics,Chemistry,Business & Management,Physics & Astronomy,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Law,Architecture,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Economics & Econometrics,Education,Electrical & Electronic Engineering",/world-university-rankings/national-cheng-kung-university-ncku
