aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
GITAM University,,India,0,GITAM University,625692,1001+,10780,master_account,8.7,1192,34.8,1041,18.6,1156,9.8–18.9,10780,7.4,1228,14.9,1142,32 : 68,"16,223",2%,14.7,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Civil Engineering,Physics & Astronomy,Biological Sciences,Accounting & Finance,Mathematics & Statistics,Chemistry,Communication & Media Studies,General Engineering,Computer Science,Other Health,Medicine & Dentistry,Law,Psychology,Architecture,Business & Management",/world-university-rankings/gitam-university
Government College University Lahore,,Pakistan,0,Government College University Lahore,624462,1001+,10790,master_account,4.3,1240,34.1,1168,40.3,682,9.8–18.9,10790,9.7,1067,16.6,1037,43 : 57,"8,841",1%,33.5,"Art, Performing Arts & Design,Languages, Literature & Linguistics,Economics & Econometrics,History, Philosophy & Theology,Accounting & Finance,Psychology,Computer Science,Electrical & Electronic Engineering,Biological Sciences,Sport Science,Mathematics & Statistics,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Business & Management,Geography,Sociology",/world-university-rankings/government-college-university-lahore
Grigore T. Popa University of Medicine and Pharmacy,,Romania,0,Grigore T. Popa University of Medicine and Pharmacy,624561,1001+,10800,master_account,10.6,1164,34.2,1149,46.0,571,9.8–18.9,10800,7.6,1216,17.1,1010,66 : 34,"9,602",29%,11.4,"Medicine & Dentistry,Other Health",/world-university-rankings/grigore-t-popa-university-medicine-and-pharmacy
University of Guadalajara Universidad de Guadalajara UdeG UDG,,Mexico,6,University of Guadalajara,131406,1001+,10810,master_account,10.8,1158,34.0,1216,29.0,908,9.8–18.9,10810,7.6,1217,14.6,1161,52 : 48,"120,298",0%,52.4,"Architecture,Languages, Literature & Linguistics,Medicine & Dentistry,Accounting & Finance,Computer Science,Other Health,Education,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Biological Sciences,Chemical Engineering,Geography,Agriculture & Forestry,Veterinary Science,Sport Science,Psychology,Mathematics & Statistics,Physics & Astronomy,History, Philosophy & Theology,Business & Management,Art, Performing Arts & Design,Law,Chemistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Economics & Econometrics",/world-university-rankings/university-guadalajara
University of Guanajuato,,Mexico,0,University of Guanajuato,625275,1001+,10820,master_account,14.3,1079,34.0,1217,32.9,835,9.8–18.9,10820,7.8,1204,15.0,1135,52 : 48,"24,798",1%,16.6,"Geography,Medicine & Dentistry,Communication & Media Studies,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Education,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Law,History, Philosophy & Theology,General Engineering,Architecture,Other Health,Psychology,Civil Engineering,Mechanical & Aerospace Engineering,Business & Management,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Accounting & Finance,Sport Science,Veterinary Science,Physics & Astronomy,Mathematics & Statistics,Economics & Econometrics,Computer Science,Chemistry",/world-university-rankings/university-guanajuato
Guangxi University,,China,0,Guangxi University,623946,1001+,10830,master_account,11.5,1139,42.6,478,20.6,1107,9.8–18.9,10830,9.6,1073,14.5,1168,46 : 54,"34,199",5%,15.8,Politics & International Studies (incl Development Studies),/world-university-rankings/guangxi-university
Gunma University,,Japan,0,Gunma University,589373,1001+,10840,master_account,14.3,1080,36.8,819,18.8,1152,9.8–18.9,10840,13.6,830,26.0,558,37 : 63,"6,362",3%,7.3,"Education,Medicine & Dentistry,Other Health",/world-university-rankings/gunma-university
Hallym University,,South Korea,0,Hallym University,589301,1001+,10850,master_account,14.6,1076,35.2,987,20.3,1116,9.8–18.9,10850,14.8,767,18.2,942,,"8,372",4%,9.8,"Law,Agriculture & Forestry,Business & Management,Languages, Literature & Linguistics,Other Health,Computer Science,Medicine & Dentistry,General Engineering,Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Sport Science,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,Accounting & Finance",/world-university-rankings/hallym-university
Harbin Engineering University,,China,0,Harbin Engineering University,625653,1001+,10860,master_account,11.5,1140,80.5,88,16.1,1214,9.8–18.9,10860,19.0,621,20.7,795,26 : 74,"24,124",2%,14.1,"Sociology,Law,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Business & Management,Chemistry,Psychology,Languages, Literature & Linguistics,Mathematics & Statistics,Chemical Engineering,Economics & Econometrics,General Engineering,Computer Science,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,Sport Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy",/world-university-rankings/harbin-engineering-university
Hashemite University,,Jordan,0,Hashemite University,587787,1001+,10870,master_account,6.1,1224,34.0,1218,47.0,554,9.8–18.9,10870,9.7,1068,12.4,1244,58 : 42,"16,879",4%,16.8,"Mechanical & Aerospace Engineering,Medicine & Dentistry,Archaeology,Other Health,Architecture,General Engineering,Computer Science,Electrical & Electronic Engineering,Mathematics & Statistics,Civil Engineering,Sport Science,Education,Economics & Econometrics,Agriculture & Forestry,Biological Sciences,Accounting & Finance,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Business & Management,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics",/world-university-rankings/hashemite-university
Helwan University,,Egypt,0,Helwan University,646157,1001+,10880,master_account,17.7,1023,34.3,1124,40.2,683,9.8–18.9,10880,7.5,1223,15.7,1086,58 : 42,"154,964",1%,36.0,"Law,Education,Civil Engineering,Psychology,History, Philosophy & Theology,Physics & Astronomy,Veterinary Science,Geography,Art, Performing Arts & Design,Languages, Literature & Linguistics,Sport Science,Biological Sciences,Accounting & Finance,Other Health,General Engineering,Archaeology,Electrical & Electronic Engineering,Sociology,Communication & Media Studies,Economics & Econometrics,Chemistry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Chemical Engineering,Architecture,Business & Management,Agriculture & Forestry,Mathematics & Statistics",/world-university-rankings/helwan-university
Hosei University,,Japan,0,Hosei University,589151,1001+,10890,master_account,23.8,930,34.9,1025,23.6,1030,9.8–18.9,10890,9.1,1120,15.6,1095,36 : 64,"30,364",2%,41.0,"Computer Science,Economics & Econometrics,History, Philosophy & Theology,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Civil Engineering,Psychology,Law,Architecture,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Accounting & Finance,General Engineering,Biological Sciences,Sport Science,Chemical Engineering,Business & Management,Mechanical & Aerospace Engineering,Geography",/world-university-rankings/hosei-university
Huaqiao University,,China,0,Huaqiao University,623787,1001+,10900,master_account,20.5,981,38.1,714,45.1,592,9.8–18.9,10900,9.4,1087,12.8,1237,49 : 51,"29,637",11%,17.8,"Chemical Engineering,Art, Performing Arts & Design,General Engineering,Languages, Literature & Linguistics,Civil Engineering,Architecture,Computer Science,Law,Economics & Econometrics,Communication & Media Studies,Business & Management,Agriculture & Forestry,Electrical & Electronic Engineering,Mathematics & Statistics,Chemistry,Sociology,Accounting & Finance,Biological Sciences,Physics & Astronomy,Mechanical & Aerospace Engineering,Sport Science,Politics & International Studies (incl Development Studies),History, Philosophy & Theology",/world-university-rankings/huaqiao-university
University of Hyogo,,Japan,0,University of Hyogo,609672,1001+,10910,master_account,10.2,1170,44.6,420,17.5,1183,9.8–18.9,10910,12.9,861,16.1,1056,39 : 61,"6,607",2%,14.0,"Mechanical & Aerospace Engineering,General Engineering,Other Health,Accounting & Finance,Business & Management,Electrical & Electronic Engineering,Economics & Econometrics",/world-university-rankings/university-hyogo
