aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Ottawa,,Canada,0,University of Ottawa,649,201–250,2280,master_account,51.7,303,34.7,504,54.7,216,29.0–32.2,2280,19.6,229,28.3,191,59 : 41,"35,365",19%,24.7,"Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-ottawa
Paris Nanterre University,,France,0,Paris Nanterre University,622917,201–250,2290,master_account,40.3,441,34.7,506,49.5,248,29.0–32.2,2290,27.3,153,26.7,216,62 : 38,"33,434",17%,36.3,"Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/paris-nanterre-university
University of Pisa,,Italy,0,University of Pisa,795,201–250,2300,master_account,49.4,343,40.9,187,44.0,283,29.0–32.2,2300,19.9,225,27.6,198,51 : 49,"33,726",6%,22.4,"Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology,History, Philosophy & Theology",/world-university-rankings/university-pisa
Queensland University of Technology qut,,Australia,6,Queensland University of Technology,758,201–250,2310,master_account,68.4,83,77.6,49,61.9,158,29.0–32.2,2310,16.5,274,22.8,275,54 : 46,"34,871",16%,38.2,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics,Architecture",/world-university-rankings/queensland-university-technology
RMIT University RMIT Australia Melbourne,,Australia,0,RMIT University,915,201–250,2320,master_account,63.7,134,55.3,83,85.8,32,29.0–32.2,2320,12.3,355,21.1,301,47 : 53,"33,848",30%,22.4,"Languages, Literature & Linguistics,Architecture,Art, Performing Arts & Design",/world-university-rankings/rmit-university
University of Rochester,,United States,0,University of Rochester,545,201–250,2330,private,66.3,105,34.9,416,46.7,261,29.0–32.2,2330,10.2,406,31.5,162,49 : 51,"9,824",31%,4.2,"Archaeology,History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/university-rochester
Ruhr University Bochum,,Germany,0,Ruhr University Bochum,718,201–250,2340,master_account,51.9,299,53.2,95,45.2,272,29.0–32.2,2340,27.3,154,23.8,259,49 : 51,"43,015",14%,60.5,"Archaeology,Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/ruhr-university-bochum
Saint Petersburg State University,,Russian Federation,0,Saint Petersburg State University,853,201–250,2350,master_account,38.4,457,37.7,246,28.2,393,29.0–32.2,2350,22.9,188,38.5,118,63 : 37,"21,489",12%,7.4,"Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology,History, Philosophy & Theology",/world-university-rankings/saint-petersburg-state-university
University of South Australia unisa,,Australia,6,University of South Australia,855,201–250,2360,master_account,69.2,76,82.6,38,80.0,49,29.0–32.2,2360,17.1,266,15.8,397,58 : 42,"20,268",25%,30.5,"Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture",/world-university-rankings/university-south-australia
University of Stirling,,United Kingdom,6,University of Stirling,804,201–250,2370,master_account,71.5,51,34.7,515,61.5,164,29.0–32.2,2370,14.7,301,19.6,326,63 : 37,"9,250",23%,15.8,"History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-stirling
Stony Brook University,,United States,0,Stony Brook University,578,201–250,2380,public,59.0,201,34.7,516,52.0,235,29.0–32.2,2380,11.9,363,31.4,166,50 : 50,"24,201",23%,10.5,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/stony-brook-university
University of Stuttgart,,Germany,0,University of Stuttgart,1031,201–250,2390,master_account,49.6,339,49.1,112,42.0,296,29.0–32.2,2390,20.5,219,27.8,194,32 : 68,"26,004",20%,45.8,"History, Philosophy & Theology,Architecture,Languages, Literature & Linguistics",/world-university-rankings/university-stuttgart
University of Surrey,,United Kingdom,11,University of Surrey,806,201–250,2400,master_account,77.6,13,34.7,517,70.1,104,29.0–32.2,2400,17.6,256,17.6,357,55 : 45,"13,125",37%,16.0,"Languages, Literature & Linguistics,Art, Performing Arts & Design",/world-university-rankings/university-surrey
University of Technology Sydney UTS,,Australia,6,University of Technology Sydney,906,201–250,2410,master_account,65.5,116,58.1,74,83.6,38,29.0–32.2,2410,16.7,271,17.5,361,51 : 49,"26,385",34%,43.4,"Languages, Literature & Linguistics,Architecture,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/university-technology-sydney
Texas A&M University,,United States,11,Texas A&M University,629,201–250,2420,public,63.1,141,37.1,267,34.3,348,29.0–32.2,2420,22.3,196,22.3,282,47 : 53,"60,818",8%,24.8,"Languages, Literature & Linguistics,Archaeology,History, Philosophy & Theology,Architecture,Art, Performing Arts & Design",/world-university-rankings/texas-am-university
Tomsk State University,,Russian Federation,0,Tomsk State University,131772,201–250,2430,master_account,36.9,469,54.8,84,55.0,212,29.0–32.2,2430,18.8,241,36.7,132,,"7,655",29%,11.9,"Archaeology,History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/tomsk-state-university
Tongji University,,China,0,Tongji University,984,201–250,2440,master_account,43.7,407,98.3,21,60.2,171,29.0–32.2,2440,15.4,289,26.9,212,45 : 55,"35,690",13%,13.1,"History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Architecture",/world-university-rankings/tongji-university
University of Trento,,Italy,0,University of Trento,763,201–250,2450,master_account,65.2,120,57.2,77,61.4,165,29.0–32.2,2450,20.3,222,16.8,376,51 : 49,"12,920",7%,19.5,"History, Philosophy & Theology,Archaeology,Architecture,Languages, Literature & Linguistics",/world-university-rankings/university-trento
