Institution,Metric,Value,Year,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Essex,NSS Teaching (%),83.9609382171059,2010,83.9609382171059,54.0,6.0,10007791,University of Essex,
"Queen's, Belfast",NSS Teaching (%),84.9541365133731,2010,84.9541365133731,48.0,6.0,10005343,The Queen's University of Belfast,17.0
Keele,NSS Teaching (%),86.52165746153358,2010,86.52165746153358,29.0,8.0,10007767,University of Keele,
Plymouth,NSS Teaching (%),84.6874783284689,2010,84.6874783284689,51.0,6.0,10007801,University of Plymouth,
Hull,NSS Teaching (%),88.130395973408,2010,88.130395973408,14.0,9.0,10007149,University of Hull,
Northumbria,NSS Teaching (%),85.28506501395121,2010,85.28506501395121,42.0,7.0,10001282,University of Northumbria at Newcastle,
Brunel,NSS Teaching (%),76.6249793938195,2010,76.6249793938195,101.0,1.0,10000961,Brunel University,
Staffordshire,NSS Teaching (%),81.56328899242891,2010,81.56328899242891,76.0,4.0,10006299,Staffordshire University,
Oxford Brookes,NSS Teaching (%),82.84459707166921,2010,82.84459707166921,64.0,5.0,10004930,Oxford Brookes University,
Queen Margaret,NSS Teaching (%),,2010,,,,10005337,"Queen Margaret University, Edinburgh",
Queen Mary,NSS Teaching (%),81.868395568723,2010,81.868395568723,74.0,4.0,10007775,"Queen Mary and Westfield College, University of London",21.0
UWE Bristol,NSS Teaching (%),85.04849625972079,2010,85.04849625972079,44.0,7.0,10007164,"University of the West of England, Bristol",
Bath Spa,NSS Teaching (%),87.861313045026,2010,87.861313045026,19.0,9.0,10000571,Bath Spa University,
UC Falmouth,NSS Teaching (%),77.8114840486012,2010,77.8114840486012,97.0,2.0,10008640,University College Falmouth,
Sunderland,NSS Teaching (%),84.73014316267891,2010,84.73014316267891,50.0,6.0,10007159,University of Sunderland,
Birmingham City,NSS Teaching (%),76.0224568263614,2010,76.0224568263614,103.0,1.0,10007140,Birmingham City University,
Gloucestershire,NSS Teaching (%),80.011052211004,2010,80.011052211004,85.0,3.0,10007145,University of Gloucestershire,
UWIC,NSS Teaching (%),81.91984748171092,2010,81.91984748171092,73.0,4.0,10007854,Cardiff Metropolitan University,
Glasgow Caledonian,NSS Teaching (%),82.2731798944438,2010,82.2731798944438,67.0,5.0,10007762,Glasgow Caledonian University,
Sheffield Hallam,NSS Teaching (%),80.7319606622112,2010,80.7319606622112,81.0,3.0,10005790,Sheffield Hallam University,
"St Mary's UC, Twickenham",NSS Teaching (%),87.8616750425692,2010,87.8616750425692,18.0,9.0,10007843,"St Mary's University College, Twickenham",
Thames Valley,NSS Teaching (%),77.1636209937521,2010,77.1636209937521,99.0,2.0,10006566,The University of West London,
Teesside,NSS Teaching (%),83.16305919464091,2010,83.16305919464091,61.0,5.0,10007161,Teesside University,
Aberystwyth,NSS Teaching (%),87.8455253430379,2010,87.8455253430379,20.0,9.0,10007856,Prifysgol Aberystwyth,
Bangor,NSS Teaching (%),83.7792111323697,2010,83.7792111323697,55.0,6.0,10007857,Bangor University,
Kingston,NSS Teaching (%),82.1556944976585,2010,82.1556944976585,70.0,4.0,10003678,Kingston University,
Brighton,NSS Teaching (%),83.32227465711449,2010,83.32227465711449,59.0,5.0,10000886,University of Brighton,
Coventry,NSS Teaching (%),79.2173617701083,2010,79.2173617701083,91.0,2.0,10001726,Coventry University,
Ulster,NSS Teaching (%),76.3658239793222,2010,76.3658239793222,102.0,1.0,10007807,University of Ulster,
De Montfort,NSS Teaching (%),83.04394752492242,2010,83.04394752492242,62.0,5.0,10001883,De Montfort University,
Lampeter,NSS Teaching (%),87.41700007992607,2010,87.41700007992607,23.0,9.0,10007858,University of Wales: Trinity Saint David,
Portsmouth,NSS Teaching (%),87.7180262995605,2010,87.7180262995605,21.0,9.0,10007155,University of Portsmouth,
Glamorgan,NSS Teaching (%),79.8965635741225,2010,79.8965635741225,89.0,3.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
Chichester,NSS Teaching (%),89.27369914655823,2010,89.27369914655823,11.0,10.0,10007137,The University of Chichester,
Central Lancashire,NSS Teaching (%),81.95575058453079,2010,81.95575058453079,72.0,4.0,10007141,University of Central Lancashire,
Anglia Ruskin,NSS Teaching (%),77.1363141183536,2010,77.1363141183536,100.0,2.0,10000291,Anglia Ruskin University,
Bradford,NSS Teaching (%),77.3110934506768,2010,77.3110934506768,98.0,2.0,10007785,University of Bradford,
Cumbria,NSS Teaching (%),80.3606804751625,2010,80.3606804751625,83.0,3.0,10007842,The University of Cumbria,
Newman University College,NSS Teaching (%),89.29408919656342,2010,89.29408919656342,10.0,10.0,10007832,Newman University College,
York St John,NSS Teaching (%),83.4586762261735,2010,83.4586762261735,58.0,5.0,10007713,York St John University,
Bedfordshire,NSS Teaching (%),80.5428624322762,2010,80.5428624322762,82.0,3.0,10007152,University of Bedfordshire,
Lincoln,NSS Teaching (%),82.2650808287397,2010,82.2650808287397,68.0,4.0,10007151,University of Lincoln,
Chester,NSS Teaching (%),84.6826973670886,2010,84.6826973670886,52.0,6.0,10007848,University of Chester,
