aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Barcelona,Spain,6,University of Barcelona,667,65,65,master_account,84.4,67,35.6,97,44.7,77,62.2,65,55.6,62,47.6,66,62 : 38,"47,491",10%,12.2,"Medicine & Dentistry,Other Health",/world-university-rankings/university-barcelona
Case Western Reserve University,United States,0,Case Western Reserve University,557,66,66,private,84.0,68,38.6,86,31.0,93,61.5,66,53.1,68,51.6,57,48 : 52,"9,259",17%,6.4,"Other Health,Medicine & Dentistry",/world-university-rankings/case-western-reserve-university
Autonomous University of Barcelona uab,Spain,6,Autonomous University of Barcelona,666,=67,67,master_account,83.1,73,40.5,80,43.8,78,61.4,67,57.9,58,43.7,77,59 : 41,"30,538",10%,12.3,"Other Health,Medicine & Dentistry",/world-university-rankings/autonomous-university-barcelona
Lund University,Sweden,0,Lund University,544,=67,68,master_account,79.8,83,77.9,18,68.7,38,61.4,68,51.6,73,44.3,75,,"28,251",15%,11.5,"Medicine & Dentistry,Other Health",/world-university-rankings/lund-university
University of Wisconsin-Madison,United States,0,University of Wisconsin-Madison,491,69,69,public,85.8,59,44.8,65,43.5,80,60.8,69,50.0,79,45.8,72,51 : 49,"39,655",11%,10.8,"Other Health,Medicine & Dentistry",/world-university-rankings/university-wisconsin-madison
University of Copenhagen,Denmark,0,University of Copenhagen,599,70,70,master_account,87.5,51,44.3,67,69.9,32,60.5,70,35.4,96,50.0,62,67 : 33,"27,545",19%,4.1,"Other Health,Medicine & Dentistry",/world-university-rankings/university-copenhagen
University of Alberta,Canada,0,University of Alberta,564,=71,71,master_account,72.6,92,56.4,35,71.3,31,60.2,71,51.0,76,51.0,59,55 : 45,"36,299",23%,21.6,"Medicine & Dentistry,Other Health",/world-university-rankings/university-alberta
University of Bern,Switzerland,0,University of Bern,576,=71,72,master_account,74.3,88,91.7,13,87.7,5,60.2,72,52.6,69,39.3,86,54 : 46,"14,708",14%,22.5,"Medicine & Dentistry,Other Health",/world-university-rankings/university-bern
Paris Descartes University,France,0,Paris Descartes University,131297,=73,73,master_account,84.9,65,35.8,96,52.3,67,60.1,73,52.1,71,40.6,82,63 : 37,"34,691",15%,26.9,Medicine & Dentistry,/world-university-rankings/paris-descartes-university
Paris-Sud University,France,6,Paris-Sud University,867,=73,74,master_account,92.8,30,36.1,94,65.3,48,60.1,74,36.8,94,42.5,80,,"27,603",17%,15.0,"Other Health,Medicine & Dentistry",/world-university-rankings/paris-sud-university
University of Helsinki,Finland,11,University of Helsinki,555,=75,75,master_account,81.5,77,37.7,89,52.2,68,60.0,76,54.1,64,42.7,79,66 : 34,"23,505",6%,15.1,"Medicine & Dentistry,Other Health",/world-university-rankings/university-helsinki
Queen Mary University of London,United Kingdom,0,Queen Mary University of London,131678,=75,76,master_account,94.6,20,44.8,64,86.5,7,60.0,75,39.7,90,30.6,97,52 : 48,"14,260",40%,14.0,"Medicine & Dentistry,Other Health",/world-university-rankings/queen-mary-university-london
"University of California, Davis",United States,0,"University of California, Davis",503,77,77,public,86.1,58,47.2,54,44.9,76,59.9,77,51.1,75,40.5,83,54 : 46,"35,364",13%,13.9,"Other Health,Medicine & Dentistry",/world-university-rankings/university-california-davis
