aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of Texas at Austin,,United States,0,University of Texas at Austin,493,14,14,public,94.0,13,90.2,23,38.5,88,81.2,14,85.6,14,74.1,22,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/university-texas-austin
University of Michigan-Ann Arbor,,United States,0,University of Michigan-Ann Arbor,482,15,15,public,75.5,48,70.3,38,65.0,46,80.6,15,87.3,12,84.2,12,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/university-michigan-ann-arbor
Carnegie Mellon University,,United States,0,Carnegie Mellon University,485,16,16,private,60.1,73,77.0,33,56.1,64,78.1,16,90.5,4,87.8,10,"General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/carnegie-mellon-university
Cornell University,,United States,0,Cornell University,484,17,17,private,84.1,26,36.3,73,44.9,79,76.4,17,82.4,17,77.7,21,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/cornell-university
University of Illinois at Urbana-Champaign,,United States,0,University of Illinois at Urbana-Champaign,495,18,18,public,69.3,58,-,95,52.2,71,76.1,18,86.1,13,82.7,15,"Chemical Engineering,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/university-illinois-urbana-champaign
Delft University of Technology,,Netherlands,0,Delft University of Technology,568,19,19,master_account,50.1,94,99.4,13,72.9,32,75.2,19,89.4,7,80.5,17,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering",/world-university-rankings/delft-university-technology
Northwestern University,,United States,0,Northwestern University,490,19,19,private,98.7,5,69.3,39,48.3,75,75.2,20,70.9,27,65.6,30,"Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/northwestern-university
The Hong Kong University of Science and Technology hkust,,Hong Kong,11,The Hong Kong University of Science and Technology,526,21,21,master_account,79.1,40,66.2,40,77.4,25,73.4,21,74.5,23,67.3,27,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/hong-kong-university-science-and-technology
"University of California, Santa Barbara",,United States,0,"University of California, Santa Barbara",499,22,22,public,98.8,4,99.5,12,78.3,22,72.1,22,61.2,35,52.4,53,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-california-santa-barbara
Tsinghua University Qinghua University Tsing hua University Qing hua University,,China,6,Tsinghua University,535,23,23,master_account,52.7,88,99.8,9,33.5,95,71.4,23,81.9,18,82.6,16,"General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/tsinghua-university
University of Toronto,,Canada,0,University of Toronto,483,24,24,master_account,80.4,36,36.8,71,57.0,62,70.6,24,72.7,25,68.4,26,"Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-toronto
The University of Tokyo,,Japan,0,The University of Tokyo,494,25,25,master_account,60.7,72,-,98,46.9,78,69.7,25,75.5,22,80.4,18,"Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/university-tokyo
Korea Advanced Institute of Science and Technology (KAIST),,South Korea,0,Korea Advanced Institute of Science and Technology (KAIST),558,26,26,master_account,57.5,79,100.0,1,30.4,98,69.6,26,77.0,21,78.1,20,"Electrical & Electronic Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/korea-advanced-institute-science-and-technology-kaist
University of Wisconsin-Madison,,United States,0,University of Wisconsin-Madison,491,27,27,public,79.2,39,64.9,44,47.4,76,68.1,27,68.1,28,63.6,34,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/university-wisconsin-madison
Technical University of Munich,,Germany,0,Technical University of Munich,552,28,28,master_account,79.6,37,45.5,62,58.6,56,67.5,28,63.3,32,66.7,28,"Chemical Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering",/world-university-rankings/technical-university-munich
