Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
76=,96,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sunderland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3859/university-of-sunderland"">University of Sunderland</a>",82.7%,76.7%,1.8%,112,69.3%,78.2
78,113,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : anglia ruskin university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3755/anglia-ruskin-university"">Anglia Ruskin University</a>",83.8%,82.8%,n/a,101,68.6%,78.0
79=,91,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : middlesex university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3830/middlesex-university"">Middlesex University</a>",79.2%,80.3%,14.2%,124,57.2%,77.9
79=,109=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of greenwich', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3797/university-of-greenwich"">University of Greenwich</a>",75.3%,73.7%,7.3%,141,63.9%,77.9
81=,66,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : northumbria university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3834/northumbria-university"">Northumbria University</a>",73.2%,69.4%,4.0%,148,67.6%,77.7
81=,84,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : oxford brookes university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3839/oxford-brookes-university"">Oxford Brookes University</a>",63.6%,72.2%,13.0%,120,83.3%,77.7
83=,123,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : leeds beckett university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3810/leeds-beckett-university"">Leeds Beckett University</a>",79.0%,76.6%,0.2%,112,71.7%,77.6
83=,83,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of gloucestershire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3796/university-of-gloucestershire"">University of Gloucestershire</a>",78.0%,76.9%,n/a,121,69.6%,77.6
85,100=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of scotland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3871/university-of-the-west-of-scotland"">University of the West of Scotland</a>",75.2%,70.4%,3.2%,133,68.3%,77.2
86,80,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : manchester metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3829/manchester-metropolitan-university"">Manchester Metropolitan University</a>",71.6%,71.2%,5.6%,137,68.8%,77.1
